twitter_id,date,tweet
1546613984165449728,2022-07-11 21:54:43+00:00,b'Joining @GMA tomorrow morning for a special performance \xf0\x9f\x8c\xbc 7am local time on @ABC #GoodMorningAmerica https://t.co/bnCAM5tbhz'
1545541598989017088,2022-07-08 22:53:26+00:00,b'\xf0\x9f\x91\x80 https://t.co/wrM8DQc3e7'
1545540636010369024,2022-07-08 22:49:37+00:00,"b""RT @Poncho_commu: I'm so happy to see 5SOS with @RyanMFleming 's eyes.\nThank you for making this experience possible.\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\n#TakeMyHandWorld\xe2\x80\xa6"""
1545539769152614400,2022-07-08 22:46:10+00:00,"b'RT @lukeswt91: BULLSHIT I FEED MYSELF, ME AND MY SELFISH APPETITE. I DID NOT NEED YOUR HELP, NOW ITS JUST ME MYSELF &amp; I\nI KNOW YOU WISH ME\xe2\x80\xa6'"
1545138545106358273,2022-07-07 20:11:51+00:00,b'Happy birthday to our rhythm king @Ashton5SOS!!! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/tcoN0KwWvs'
1544819938371596288,2022-07-06 23:05:49+00:00,b'RT @Ashton5SOS: \xf0\x9f\xa5\x81 \xf0\x9f\x8c\x8e \xe2\x9a\xa1\xef\xb8\x8f https://t.co/StffMxrOvL'
1544819305337868288,2022-07-06 23:03:18+00:00,b'RT @CJMorgan_1: I wanted to try something new \xf0\x9f\xa4\xad\n\n#5SOS #5SOS5 #memyselfandi https://t.co/3fAZ8G5elF'
1544818983290880001,2022-07-06 23:02:01+00:00,b'RT @Luke5SOS: BLENDER'
1544463804062318592,2022-07-05 23:30:40+00:00,b'RT @acousticsetluke: summary of a 5sos concert in 2022: https://t.co/Yf3V0KGmO1'
1544463185834479616,2022-07-05 23:28:12+00:00,b'RT @babybluedanella: 5 seconds of summer https://t.co/2X7I5VaDAQ'
1544462561789169667,2022-07-05 23:25:44+00:00,b'RT @lftvmike: take my hand by 5sos. https://t.co/70wV10ZvEc'
1542981745791840256,2022-07-01 21:21:30+00:00,b'A few more souls on the bus now \xf0\x9f\x92\xab The Mexico Tour Diary is live on YouTube https://t.co/hBwl48i4s3 https://t.co/DDhiYYwQL0'
1542300559037779968,2022-06-30 00:14:42+00:00,b'Thank you all. We love you. More 5SOS5 is coming soon...\n\nhttps://t.co/uHrEbT0Oc0'
1542299423031496704,2022-06-30 00:10:11+00:00,"b""Grand finale: let's be a Complete Mess together \xe2\x9d\xa4\xef\xb8\x8f\n\nhttps://t.co/e8Qn14Jhcy"""
1542298144313966592,2022-06-30 00:05:06+00:00,"b""Surprise twist: let's do Take My Hand next. Let's go. \nhttps://t.co/h88NNrnQf2"""
1542297929179811840,2022-06-30 00:04:15+00:00,b'@coolbabyblues Cancel the flight.'
1542297077534756864,2022-06-30 00:00:52+00:00,b'Hit play on Me Myself &amp; I now https://t.co/k5Fhlckq0E'
1542281951423258626,2022-06-29 23:00:46+00:00,"b'Clear your calendars for 5pm PT, we\xe2\x80\x99ll be on our youtube watching all the 5SOS5 videos. Might chat a little too, who knows.\n\nhttps://t.co/SvDFPwgtkF https://t.co/WbasmAVJQ8'"
1542234635228172288,2022-06-29 19:52:45+00:00,"b""Recharged &amp; Refreshed. Can't wait to see you again starting tomorrow in Nashville. This tour continues to be a dream \xf0\x9f\x96\xa4 https://t.co/XZ0d8IQqfE"""
1541948361476956160,2022-06-29 00:55:12+00:00,b'A special one for you \xf0\x9f\xa4\x8d Tune in 7.4 at 8pm ET/PT on @NBC @peacockTV #MacysFireworks https://t.co/Jp1PxVxrNV'
1541545396987514880,2022-06-27 22:13:57+00:00,b'\xf0\x9f\x96\xa4 https://t.co/TG01BpFbtY'
1540791695234674689,2022-06-25 20:19:01+00:00,b'POV Cam Part 1 #TakeMyHandWorldTour\n\n\xf0\x9f\x8e\xa5 @RyanMFleming https://t.co/3UtMEjoz8Z'
1540081539223998465,2022-06-23 21:17:06+00:00,b'https://t.co/gcYV23ZrbM'
1540080839182016512,2022-06-23 21:14:20+00:00,b'RT @afidrumvault: \xf0\x9f\xa5\x81\xf0\x9f\xa5\x81TAKE\xf0\x9f\xa4\x9dMY\xf0\x9f\xa4\x9dHAND\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81NOW AND FOREV\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81ER WHERE I STAND\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81HOW CAN YOU LIVE AND LET DIE\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81\xf0\x9f\xa5\x81YOUNG MAN'
1540079777314242560,2022-06-23 21:10:06+00:00,b'\xf0\x9f\xa4\x9d #TakeMyHand for the finale\n\nhttps://t.co/F3JeKnxKk6'
