twitter_id,date,tweet
1545905583362015232,2022-07-09 22:59:47+00:00,b'THANK YOU HONEY! \xe2\x9d\xa4\xef\xb8\x8f #WeAreNXTUK https://t.co/RB3j92DjTA'
1545904178387632130,2022-07-09 22:54:12+00:00,b'RT @StephMcMahon: .@WWEonAE Superstar Sunday kicks off tomorrow 8pm EST with 3+ hours of @WWE premieres! Tune in for @biography: WWE Legend\xe2\x80\xa6'
1544545787366998016,2022-07-06 04:56:26+00:00,"b""RT @WWE: .@ShawnMichaels joins @CoraJadeWWE &amp; @roxanne_wwe as they take their first pictures with the #WWENXT Women's Tag Team Titles! #NXT\xe2\x80\xa6"""
1544495216199143424,2022-07-06 01:35:29+00:00,b'WOW! #WWENXT #NXTGAB https://t.co/BHyA30YiBo'
1544486738877374464,2022-07-06 01:01:48+00:00,b'RT @WWENXT: \xf0\x9f\x98\xae\n\n#WWENXT #NXTGAB @therealestwendy @tiffstrattonwwe https://t.co/Nf5QhkNONU'
1544478830651400193,2022-07-06 00:30:22+00:00,b'Congratulations to you both!!! #AndNew #NXTGAB #WWENXT https://t.co/06fuoHDGo3'
1544464035785199616,2022-07-05 23:31:35+00:00,b'Less than a half hour away on @USA_Network! #WWENXT #NXTGAB https://t.co/O7GBPsnOHC'
1544395282691117056,2022-07-05 18:58:23+00:00,"b'So many talented Superstars working really hard to make a great #NXTGAB for the @WWENXT Universe tonight. Title matches, personal vendettas\xe2\x80\xa6 catch it all tonight at 8pm ET on @USA_Network!!!#WWENXT'"
1544394479762898944,2022-07-05 18:55:12+00:00,b'RT @WWENXT: Two of the biggest breakout stars in #WWENXT meet TONIGHT at #NXTGAB for the North American Title as @Carmelo_WWE defends again\xe2\x80\xa6'
1544394440739020801,2022-07-05 18:55:02+00:00,b'RT @WWENXT: .@WesLee_WWE takes on @_trickwilliams in an emotionally-charged encounter TONIGHT at #NXTGAB! https://t.co/EptbxA9TQE'
1544023628458573824,2022-07-04 18:21:34+00:00,"b'Enter the ring with @WWEonAE during all-new Biography: WWE Legends episodes including D-Generation X! \n\nEpisodes start Sunday, July 10th at 8/7c on @AETV. #WWEonAE https://t.co/kwO61tK6De'"
1542579369255632896,2022-06-30 18:42:36+00:00,b'RT @TripleH: I think it\xe2\x80\x99s safe to say @LoganPaul shocked the world with his abilities as a guest at #WrestleMania \xe2\x80\xa6 just imagine what he\xe2\x80\x99ll\xe2\x80\xa6'
1541946268691402752,2022-06-29 00:46:53+00:00,b'RT @WWE: #JoshBriggs &amp; @BrooksJensenWWE are ALWAYS ready for a fight. \n\n#WWENXT @EltonPrince_PD @KitWilson_PD https://t.co/yF82N6OAhh'
1541939689250234368,2022-06-29 00:20:44+00:00,"b""RT @WWENXT: .@CoraJadeWWE &amp; @roxanne_wwe will challenge #ToxicAttraction for the NXT Women's Tag Team Titles NEXT WEEK at #NXTGAB! \n\n@jacyj\xe2\x80\xa6"""
1541917540754100227,2022-06-28 22:52:43+00:00,b'RT @WWENXT: TONIGHT on #NXT 2.0: \n\n#JoshBriggs &amp; @BrooksJensenWWE return to #WWENXT as the NEW #NXTUK Tag Team Champions! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \n\n\xf0\x9f\x93\xba 8/7c on @U\xe2\x80\xa6'
1541837095269982211,2022-06-28 17:33:04+00:00,b'RT @WWENXT: Get ready for a TOXIC night of #WWENXT 2.0 tonight. \xf0\x9f\x98\x88\n\xf0\x9f\x93\xba 8/7c @USA_Network https://t.co/ZjhmuoGTHT'
1541470099734921218,2022-06-27 17:14:45+00:00,"b'Congratulations to YOU @JohnCena on your 20th anniversary! Have fun at #WWERaw tonight, I know you will! #CenaMonth https://t.co/7dS9Yu2iyq'"
1539400159053881346,2022-06-22 00:09:33+00:00,"b""RT @WWENXT: Where ya goin', @GraysonWWE?\n\n#WWENXT @WWESoloSikoa https://t.co/zYQRxAguyS"""
1539383949968941057,2022-06-21 23:05:08+00:00,b'RT @WWENXT: Can @lashlegendwwe handle the heat from @wwe_alba TONIGHT on #WWENXT 2.0? https://t.co/L2XsshV9iz'
1539311141297569792,2022-06-21 18:15:49+00:00,b'RT @WWE: TONIGHT on #WWENXT 2.0\n\n@Carmelo_WWE vs. @TonyDangeloWWE\nNorth American Championship\n\n\xf0\x9f\x93\xba 8/7c @USA_Network https://t.co/IIxkXKgmDD'
1539310854872748032,2022-06-21 18:14:41+00:00,b'RT @WWENXT: What will @WesLee_WWE say with a \xf0\x9f\x94\xa5\xf0\x9f\x8e\xa4 in hand TONIGHT on #WWENXT 2.0? https://t.co/GFqqALiQ5o'
