twitter_id,date,tweet
1539402382022410240,2022-06-22 00:18:23+00:00,"b'Great to catch up with my good friend Christopher Henry Gayle \xe2\x81\xa6@henrygayle\xe2\x81\xa9 , the Universe Boss. Super friendship since I recruited him for RCB. Best acquisition of a player ever. https://t.co/X5Ny9d6n6t'"
1521796708249878528,2022-05-04 10:19:43+00:00,b'Eid Mubarak'
1515626189393735680,2022-04-17 09:40:17+00:00,b'Happy Easter to all'
1514948870362570756,2022-04-15 12:48:51+00:00,b'Happy Vishu to all'
1510313368669855753,2022-04-02 17:49:02+00:00,b'Happy Ugadi to all'
1504495638775541766,2022-03-17 16:31:27+00:00,b'Happy Holi to all.'
1482075444086247425,2022-01-14 19:41:36+00:00,b'https://t.co/TEQJW9FSX7'
1482025977882554379,2022-01-14 16:25:02+00:00,b'Happy Sankranti to all'
1482016319490904070,2022-01-14 15:46:39+00:00,b'Happy Pongal to all'
1474722825504280576,2021-12-25 12:44:55+00:00,b'Merry Christmas and a very happy New Year to all.'
1470207896499769358,2021-12-13 01:44:12+00:00,b'https://t.co/nNfyB2PU3x'
1470207183564509187,2021-12-13 01:41:22+00:00,"b'To all those who were adamant that design changes were the only way to make Formula One more exciting, this season has shown how superbly exciting Formula One still can be. I remain very proud that on the smallest budget, Force India came 4th in the constructors in 2016 and 2017.'"
1470204526024089607,2021-12-13 01:30:48+00:00,b'Huge congratulations to my good friend @SChecoPerez for a great season and an even greater mate during this Formula One season. I always believed in you and your phenomenal talent. Big Abrazzo Amigo.'
1470203283767799808,2021-12-13 01:25:52+00:00,"b'In my 20 plus years in Formula One as sponsor and Team Principal, I have never ever witnessed a miracle that happened today. Have seen race leaders retire on the last lap but this was beyond incredible. Gutsy strategies do pay off. Such a boost for Formula One.'"
1449043542240808967,2021-10-15 16:04:37+00:00,"b'Shubho Bijoya, Happy Vijayadashami, Happy Dusshera to all. May god bless you.'"
1420732695760486400,2021-07-29 13:07:25+00:00,b'And the Banks say I owe them money ! https://t.co/XnWSjXnnF9'
1419724187325845508,2021-07-26 18:19:58+00:00,b'ED attach my assets worth 14K crores at behest of Govt Banks against debt of 6.2K crores.They restore assets to Banks who recover 9K crores in cash and retain security over 5K crores more.Banks ask Court to make me Bankrupt as they may have to return money to the ED. Incredible.'
1406756791141208077,2021-06-20 23:32:09+00:00,b'The bestest Fathers Day gift https://t.co/1WA7Nm2Hk6'
1406727733229535240,2021-06-20 21:36:41+00:00,b'Happy Father\xe2\x80\x99s Day'
1400568273788358660,2021-06-03 21:41:12+00:00,b'Have been watching TV and the repeated mention of my name as a cheat and fraudster. Does nobody consider that my assets far in excess of Kingfisher Airline borrowings have been attached by ED and the several of my settlement offers to repay 100% ? Where is the cheating or fraud?'
1357427023665315841,2021-02-04 20:33:16+00:00,b'Outstanding delivery and deliciously different https://t.co/KTqlLDZr4w'
1349526041333817345,2021-01-14 01:17:35+00:00,b'Happy Pongal and Sankranti to all. May God bless you.'
1335742540113469440,2020-12-07 00:26:53+00:00,b'A great day for Racing Point and Checo Perez for the first F1 win. Great effort by Lance Stroll to finish 3rd. Congratulations to all. I am particularly proud as it\xe2\x80\x99s the same Force India team that delivered this awesome result...with my friend Lawrence Stroll at the helm.'
1327443091431825408,2020-11-14 02:47:50+00:00,b'https://t.co/5OYTe8IVNd'
1327360779759316996,2020-11-13 21:20:45+00:00,b'A very happy Deepavali to all. Warmest wishes for a prosperous new year.'
1320395484935192578,2020-10-25 16:03:10+00:00,b'Happy Vijaya Dashami to all'
1304746702352642048,2020-09-12 11:40:29+00:00,"b""RT @KingfisherBeer: We're just gonna come out and ask the question on everyone's mind right now... \xf0\x9f\x93\xb8https://t.co/AD3orz4Fbi https://t.co/yp\xe2\x80\xa6"""
1303789530600935424,2020-09-09 20:17:01+00:00,b'RT @sharmabharat45: Sergio Perez makes a special mention of @TheVijayMallya in his statement announcing his exit from @RacingPointF1 (forme\xe2\x80\xa6'
1295121554997682176,2020-08-16 22:13:35+00:00,"b'RT @BCCI: ""I\'ve always said this and I will say it again, you will always be my Captain,"" #TeamIndia Skipper @imVkohli pays his tribute to\xe2\x80\xa6'"
1295121211207319552,2020-08-16 22:12:13+00:00,b'RT @RCBTweets: Our \xf0\x9f\x8c\x9f Mann is poised and ready for the challenge ahead! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\n\nEyes on the prize! \xf0\x9f\x91\x80 \n\n#PlayBold #IPL2020 https://t.co/Pbr2kPfPdQ'
