twitter_id,date,tweet
1530725846121693184,2022-05-29 01:40:55+00:00,"b'Sunday night at 8pm a documentary I\xe2\x80\x99ve been working on about Olena Gnes, a Ukranian mom, who has been making a video diary all during the war as she shelters in a basement with her children. I hope you can watch it! https://t.co/M1pH8dtFuc'"
1515840159912284168,2022-04-17 23:50:31+00:00,"b'RT @60Minutes: \xe2\x80\x9cTake out your phone, pull out an app, and with one click you\xe2\x80\x99re booking the whole trip.\xe2\x80\x9d\n\nPaul Sciarra, Joby\xe2\x80\x99s executive ch\xe2\x80\xa6'"
1515838928212873224,2022-04-17 23:45:38+00:00,b'RT @60Minutes: Joby CEO JoeBen Bevirt has been working on eVTOL aircraft for over a decade. It\xe2\x80\x99s difficult to get a two-ton eVTOL off the g\xe2\x80\xa6'
1515838729117655045,2022-04-17 23:44:50+00:00,"b'RT @60Minutes: \xe2\x80\x9cOnly until [an aircraft has] met that safety threshold, will we be prepared to certify it.\xe2\x80\x9d\n\nActing FAA administrator Billy\xe2\x80\xa6'"
1515838578101792770,2022-04-17 23:44:14+00:00,"b'RT @60Minutes: Electric vertical takeoff and landing vehicles, or eVTOLs, could be the solution to rush hour traffic. But jumping in one to\xe2\x80\xa6'"
1504281059520876546,2022-03-17 02:18:47+00:00,b'RT @CNN: ICC Chief Prosecutor Karim Asad Ahmad Khan talks to @andersoncooper about his war crimes probe after Russia\xe2\x80\x99s invasion of Ukraine\xe2\x80\xa6'
1504144572129202182,2022-03-16 17:16:26+00:00,"b""RT @CNN: More than 3 million Ukrainians have fled their country since Russia's invasion. \n\nIn the latest episode of Tug of War, @andersonco\xe2\x80\xa6"""
1502132806926974978,2022-03-11 04:02:24+00:00,"b""RT @AC360: The fighting has not come to Lviv, but the war's littlest victims have. @andersoncooper visits a children's hospital where more\xe2\x80\xa6"""
1502132708859863070,2022-03-11 04:02:00+00:00,b'RT @CNN: \xe2\x80\x9cThey always hold my hand. They are afraid to go out. And if they see a hole in the ground - we have many holes in the ground in U\xe2\x80\xa6'
1502132691201843208,2022-03-11 04:01:56+00:00,"b'RT @CNN: A group of moms in Lviv, Ukraine, have banded together to do whatever they can to support their loved ones who are heading into co\xe2\x80\xa6'"
1502132547488202752,2022-03-11 04:01:22+00:00,"b'this American dad wanted to help Ukrainian refugees, so he flew to Poland and got to work. https://t.co/ExADGVTn25'"
1502132039004438529,2022-03-11 03:59:21+00:00,"b'RT @CNN: ""Music has been a beacon of hope for many."" -\nCNN\'s @andersoncooper speaks to a Ukrainian composer who fled Kyiv and now organizes\xe2\x80\xa6'"
1501710315322593280,2022-03-10 00:03:34+00:00,"b'From Lviv, Ukraine I just recorded this podcast with the remarkable \xe2\x81\xa6@clarissaward\xe2\x81\xa9 in Kyiv. It\xe2\x80\x99s a behind the scene look at what she has seen and experienced while covering this war and many others. https://t.co/cSiOUc2kGx'"
1499954321340915725,2022-03-05 03:45:52+00:00,b'@Eyaronflores That\xe2\x80\x99s a Q Anon reference!'
1499953430370172928,2022-03-05 03:42:20+00:00,"b'@jamesoliphant to be accurate Mr. Oliphant. I was not \xe2\x80\x9cthrowing around terms like WWIII.\xe2\x80\x9d I was quoting an adviser to President Zelenskyy, whom i spoke with today\xe2\x80\xa6 and Gary Kasparov who used the same description in an early tweet. You can check the transcript. Thanks.'"
1499766961701543945,2022-03-04 15:21:22+00:00,"b'Kids with cancer in #Ukraine are having a hard time getting treatment. It is a desperate situation for them. Below is a story i did yesterday in a hospital in #Lviv. To donate, this is the link https://t.co/cbUtuyDMXA https://t.co/9Ej6u7byNp'"
1498659445915754498,2022-03-01 14:00:30+00:00,"b'take a moment, if you can, to listen to Olena Gnes, speaking to us while sheltering in a basement in Kyiv with her three children. https://t.co/SDXwuc7pqv'"
1491997888112701440,2022-02-11 04:49:51+00:00,b'A happy day for me and my family! https://t.co/VACTPZB4iE'
1466210186046185478,2021-12-02 00:58:43+00:00,b'My book VANDERBILT made it to the Finals!!! Thank you so much for all your votes! Now you can vote for which of the final ten books becomes the pick for Best History and Biography of 2021! link in tweet below! Congratulations to all the authors! https://t.co/cUVeGRVh6M'
1462857307109441536,2021-11-22 18:55:35+00:00,b'RT @goodreads: The 2021 #GoodreadsChoice Awards are here! Vote for your favorite books during the opening round! https://t.co/2WIaQhItDS ht\xe2\x80\xa6'
1462857223831535623,2021-11-22 18:55:15+00:00,b'So honored that #VANDERBILT has been nominated for Best History/Biography.  Thanks @goodreads https://t.co/oEUpN1ggt1'
1456793423965458435,2021-11-06 01:19:52+00:00,b'Join me on Zoom to support injured Veterans through @homesforourtrps during their 5th Annual #VeteransDay @Ebay Celebrity Auction! Bid now:\xc2\xa0https://t.co/gOm00u2x3Q\xc2\xa0#HFOTauction2021'
1456315595322953734,2021-11-04 17:41:09+00:00,"b""RT @AC360: What's good in your life? We want to hear from you! Tell us about somebody or something that has made a positive impact on you o\xe2\x80\xa6"""
1449121114651861000,2021-10-15 21:12:51+00:00,"b'RT @CNN: .@CNNPlus is streaming in 2022. Whether you love live news or award-winning original series and films, it\xe2\x80\x99s time to see the storie\xe2\x80\xa6'"
