twitter_id,date,tweet
1546449270357762050,2022-07-11 11:00:12+00:00,b'https://t.co/rwZweryTiG'
1546101016692752384,2022-07-10 11:56:22+00:00,"b'MADRID 13 JULIO grabaremos el podcast #B\xc3\x81SICO junto a @evasoriano_ comediante, locutora de radio, presentadora en tv. Pocos tickets para asistir a la grabaci\xc3\xb3n en https://t.co/xifCx3spCW https://t.co/idDISJP1RI'"
1545351252581797890,2022-07-08 10:17:04+00:00,b'https://t.co/Gh3rcEuNy5'
1545001662397517824,2022-07-07 11:07:55+00:00,b'EPI 46 BASICO EN VIVO Invitada Mar\xc3\xada G\xc3\xb3mez https://t.co/TQxQimcOLY v\xc3\xada @YouTube https://t.co/Rfr1yyNWAL'
1544982231642505217,2022-07-07 09:50:43+00:00,b'EPI 46 BASICO EN VIVO Invitada Mar\xc3\xada G\xc3\xb3mez https://t.co/tNRIKwNiJK via @Audioboom'
1544727377774788609,2022-07-06 16:58:01+00:00,b'MADRID! Nos vemos a las 9pm en la grabaci\xc3\xb3n del podcast con la periodista Mar\xc3\xada G\xc3\xb3mez! https://t.co/xifCx3spCW https://t.co/BOdTEpv0ij'
1544628648766050306,2022-07-06 10:25:42+00:00,b'https://t.co/UNzPF35GXd'
1544589046424412164,2022-07-06 07:48:20+00:00,b'Cu\xc3\xa1ndo la caravana del circo se cruza con el desfile militar \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/MhldTNeB0W'
1543901444461547520,2022-07-04 10:16:03+00:00,b'https://t.co/KNiK2Chbk9'
1543699772909010945,2022-07-03 20:54:41+00:00,b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/c3LgvWRUU8'
1543296347410931714,2022-07-02 18:11:36+00:00,b'https://t.co/XaqC6mor7n'
1542862829560160256,2022-07-01 13:28:58+00:00,b'MADRID 6 JULIO Grabaci\xc3\xb3n de #B\xc3\x81SICO Podcast Invitada la periodista Mar\xc3\xada G\xc3\xb3mez Tickets en https://t.co/xifCx3spCW https://t.co/V6n42cHS5e'
1542781605957304322,2022-07-01 08:06:13+00:00,b'Posiblemente sea yo (que soy muy sentimental) pero \xe2\x80\xa6 Madrid no es lo mismo desde que se fueron los presidentes del G7 #WTFChataing'
1542478636623732736,2022-06-30 12:02:19+00:00,b'EPI 45 BASICO EN VIVO MADRID Invitadas Victoria Mart\xc3\xadn y Carolina Iglesi... https://t.co/af7KO0G0pp v\xc3\xada @YouTube https://t.co/kJwszbW8WL'
1542442617505566724,2022-06-30 09:39:11+00:00,b'EPISODIO 45 B\xc3\x81SICO PODCAST Invitadas @EstirandoChicle Grabado EN VIVO en Madrid https://t.co/IZrIxK8Sxs https://t.co/FALALKPJ0r'
1542439138196086784,2022-06-30 09:25:22+00:00,b'EPI 45 BASICO EN VIVO Invitadas Victoria Mart\xc3\xadn y Carolina Iglesias https://t.co/5p4vOZnBgb via @Audioboom'
1542139297444384769,2022-06-29 13:33:54+00:00,b'MADRID! nos vemos ESTA NOCHE en la grabaci\xc3\xb3n de mi podcast #B\xc3\x81SICO las primeras invitadas son las geniales Victoria Mart\xc3\xadn y Carolina Iglesias creadoras del podcast @estirandoelchicle Pocos tickets (solo 50) en https://t.co/xifCx3spCW https://t.co/yJRXMypqhr'
1542090790591242240,2022-06-29 10:21:09+00:00,b'https://t.co/5cuTDr8jvi'
1541667790498791426,2022-06-28 06:20:18+00:00,b'https://t.co/OwoyV39jYk'
1541406924113051648,2022-06-27 13:03:43+00:00,b'Gracias @GoiAzua por esta maravillosa conversaci\xc3\xb3n  https://t.co/qi1aS6h4q2 v\xc3\xada @YouTube'
1541395206867927040,2022-06-27 12:17:09+00:00,b'https://t.co/KaYPRYtUVD'
1541304034677628928,2022-06-27 06:14:52+00:00,b'Lo malo de viajar con Emtrasur es que la espera en las escalas son largu\xc3\xadsimas! #TerrorismoTur\xc3\xadstico #QueVuelvaElTwinkie https://t.co/KRvbKhv7bU'
1541020343720091648,2022-06-26 11:27:35+00:00,b'MADRID! nos vemos el mi\xc3\xa9rcoles 29 junio en la grabaci\xc3\xb3n de mi podcast #B\xc3\x81SICO las primeras invitadas son las geniales Victoria Mart\xc3\xadn y Carolina Iglesias creadoras del podcast @estirandoelchicle Pocos tickets (solo 50) en https://t.co/xifCx3spCW https://t.co/88aoqQTFNq'
1540785587279613952,2022-06-25 19:54:45+00:00,"b'RT @ggmarcano: @LuisChataing Te lo dije ayer y te lo repito hoy, gracias por venir a Zaragoza y compartir con nosotros un ratico de tu tiem\xe2\x80\xa6'"
1539556066404573184,2022-06-22 10:29:04+00:00,b'Una de dos: OTAN o NOTAN'
1539491640431239169,2022-06-22 06:13:04+00:00,"b'RT @LopezPersis: Yo justo leyendo y ri\xc3\xa9ndome con los tweets de @LuisChataing , y SAS! Qu\xc3\xa9 me lo encuentro a \xc3\xa9l con su hermosa familia! cu\xc3\xa1l\xe2\x80\xa6'"
1539322174061912065,2022-06-21 18:59:40+00:00,b'ZARAGOZA! nos vemos este viernes! Tickets en https://t.co/xifCx3spCW https://t.co/VWRgd6I0lc'
1539134705362247681,2022-06-21 06:34:44+00:00,b'https://t.co/ZAdQjjK0zp'
1538758897019899906,2022-06-20 05:41:24+00:00,b'#EleccionesColombia2022                               Ya va! Ya va! No eran 3 vueltas? \xf0\x9f\xa4\xa3'
1538566216633171969,2022-06-19 16:55:45+00:00,b'COLOMBIA DECIDE! https://t.co/Nb8txO74wg'
1538512794164797442,2022-06-19 13:23:28+00:00,b'ATENCI\xc3\x93N! https://t.co/RNH3Af17Gw'
1538496218627813376,2022-06-19 12:17:37+00:00,b'La fortuna de ser padre \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/GJN1wfR1Uq'
1538209693289664517,2022-06-18 17:19:04+00:00,b'TENERIFE nos vemos ma\xc3\xb1ana domingo! https://t.co/xifCx3spCW https://t.co/nJBEPglIPi'
1537507515008679936,2022-06-16 18:48:51+00:00,b'40 grados cent\xc3\xadgrados! Qu\xc3\xa9 calor hace en Madrid! tanto calor que el Pollo Carvajal pidi\xc3\xb3 que POR FAVOR lo extraditen a los Estados Unidos! https://t.co/995NpxPeCd'
1537493876633751553,2022-06-16 17:54:40+00:00,"b'La rabia que da cuando no salen las maletas, pueden imaginar c\xc3\xb3mo se sentir\xc3\xa1 cuando no salen las cajas con armamento? #AvionIraniEnArgentina'"
1537182386865471488,2022-06-15 21:16:55+00:00,b'MADRID! acomp\xc3\xa1\xc3\xb1enme en la grabaci\xc3\xb3n de 4 episodios del podcast #B\xc3\x81SICO https://t.co/yDGo3onUGI https://t.co/nmqqHPxczC'
1537095020364324865,2022-06-15 15:29:45+00:00,b'BARCELONA 17 JUNIO #B\xc3\x81SICO Tickets en https://t.co/xifCx3spCW https://t.co/pt2EfJ8MdH'
1537094790419988480,2022-06-15 15:28:50+00:00,b'ZARAGOZA 24 JUNIO #B\xc3\x81SICO Tickets en https://t.co/xifCx3spCW https://t.co/GqNc0ZNMVp'
1537094186217918465,2022-06-15 15:26:26+00:00,b'TENERIFE 19 JUNIO #B\xc3\x81SICO Tickets en https://t.co/xifCx3spCW https://t.co/XOWAf4tvP2'
1536722996815093762,2022-06-14 14:51:28+00:00,b'NOS VEMOS ESTA NOCHE MADRID! https://t.co/xifCx3spCW https://t.co/xtQX3rdEyw'
1535932478552145920,2022-06-12 10:30:13+00:00,b'MADRID 14 JUNIO #B\xc3\x81SICO Tickets en https://t.co/xifCx3spCW https://t.co/V5mo7cKGN0'
1535719730941775872,2022-06-11 20:24:50+00:00,b'ESPA\xc3\x91A! Nos vemos la pr\xc3\xb3xima semana! Tickets en https://t.co/xifCx3spCW https://t.co/eMnwmIuj3U'
1535718202940047360,2022-06-11 20:18:46+00:00,"b'Muchas gracias Adriana! Ma\xc3\xb1ana le toca a Berl\xc3\xadn, el lunes M\xc3\xbanich, martes Madrid! https://t.co/DOUH3iKEO9'"
