twitter_id,date,tweet
1532878637338243072,2022-06-04 00:15:21+00:00,"b'I\xe2\x80\x99ll be on #AEWRampage live tonight with an important announcement in regards to the @aew world championship, and my career. Please tune in at 9pm CST/10pm EST.'"
1532479149599625216,2022-06-02 21:47:56+00:00,b'@thereal_Rocco Shame.'
1532448509311430657,2022-06-02 19:46:10+00:00,"b'One day I road my schwin bike to some dirt hills I used to jump and ride when I was a kid. When I got there, there were two kids on their bmx bikes. They told me to leave. I didn\xe2\x80\x99t. We scrapped. Black eyes. Bloody lips. Next day and the whole summer we rode bikes TOGETHER. CMFTR https://t.co/fJT2zxYl0z'"
1532223372452540417,2022-06-02 04:51:33+00:00,"b'RT @AEWonTV: #AEW stars celebrating their Los Angeles debut after the show. Everyone looks great, but you okay @DanhausenAD ? https://t.co/\xe2\x80\xa6'"
1531682198268436483,2022-05-31 17:01:08+00:00,b'RT @AEW: #AEWDynamite makes its Los Angeles debut TOMORROW at the @thekiaforum! Witness the fallout from #AEWDoN LIVE at 8/7c on @TBSNetwor\xe2\x80\xa6'
1531503770529517568,2022-05-31 05:12:07+00:00,b'Just give us the straps so we don\xe2\x80\x99t have to hurt your favs. https://t.co/6K3NKg55Wh'
1531371122985381888,2022-05-30 20:25:01+00:00,b'@Svengoolie @DanhausenAD https://t.co/YPUaEYLysV'
1530988447434874880,2022-05-29 19:04:24+00:00,b'LFG @AEWonTV #AEWDoN https://t.co/CL8yYX8DNG'
1530657699083407360,2022-05-28 21:10:08+00:00,"b""RT @OneHourTees: CM Punk Official Merch: 20% OFF\n+ FREE USA Shipping Over $150\nhttps://t.co/eYDLAlqvcD\n\nDon't Wait! Our Memorial Day Sale E\xe2\x80\xa6"""
1530649249209126912,2022-05-28 20:36:33+00:00,b'Anytime I was around Steve Keirn I would ask him to tell me stories about his father. https://t.co/rn310Qcjsi'
1530589224931450880,2022-05-28 16:38:02+00:00,b'RT @CFFCMMA: Watch the early action of #FURYPro4 streaming right here on twitter at 4:00pm ET before the main card kicks off on @UFCFightPa\xe2\x80\xa6'
1530565984498483201,2022-05-28 15:05:41+00:00,"b'RT @AEW: On Sunday May 29, the world will be watching when #AEW takes over Las Vegas for #AEWDoN Double Or Nothing! #AEW World Champion #Ha\xe2\x80\xa6'"
1530321244557430784,2022-05-27 22:53:11+00:00,b'@JohnMorgan_MMA @CFFCMMA @UFCFightPass @AEW @DinThomas Have a great show!!!'
1530254312542113792,2022-05-27 18:27:13+00:00,b'#AEWDoN #AEWRampage https://t.co/znJP5EeFaa'
1530247779716505600,2022-05-27 18:01:15+00:00,b'RT @AEW: Stream #AEWDoN (Double Or Nothing) LIVE on @BleacherReport on your favorite device and watch #AEW World Champion #Hangman @theadam\xe2\x80\xa6'
1530224033169412098,2022-05-27 16:26:54+00:00,b'RT @marcraimondi: \xe2\x80\x9cThe best part is making these new relationships and showing guys what a lot of guys never showed me but should have: to\xe2\x80\xa6'
1529565394264297472,2022-05-25 20:49:42+00:00,b'You deleted this: @FrankieTheBoul https://t.co/92HB3VzNrh'
1529564139047112704,2022-05-25 20:44:43+00:00,"b'This is what we are up against. If your god has made you believe that abortion is murder, you also believe she wanted all those kids to be shot dead in school. Can\xe2\x80\x99t argue with these people. Thoughts and prayers. https://t.co/f38wShAC11'"
1529556883438284803,2022-05-25 20:15:53+00:00,"b""Feels pointless waking up today and just going about business as usual. Feels empty.I just feel so nihilistic. Let's go do a pro wrestling show?When babies are murdered in schools everyday?I don't have kids and I feel lost.Everyone in government is complicit.I keep deleting this"""
1529203825050984448,2022-05-24 20:52:57+00:00,b'RT @mattxiv: florida high school class president zander moricz was told by his school that they would cut his microphone if he said \xe2\x80\x9cgay\xe2\x80\x9d i\xe2\x80\xa6'
1529201801907449856,2022-05-24 20:44:55+00:00,b'@RobbieBarstool https://t.co/S0u6wJtUvh'
1528866251442835456,2022-05-23 22:31:33+00:00,b'@DariusMartin612 @Bowens_Official \xf0\x9f\xa7\x90\xf0\x9f\x98\x82\xe2\x9c\x82\xef\xb8\x8f\xf0\x9f\x92\xa8'
1528525960215154689,2022-05-22 23:59:22+00:00,b'@AEW I\xe2\x80\x99m not hostile. I\xe2\x80\x99m calm. https://t.co/n8zJLweKZy'
1528205913412075520,2022-05-22 02:47:37+00:00,b'@wyshynski https://t.co/MPuJX0h7Gr'
1528205767815225344,2022-05-22 02:47:02+00:00,b'#GoAvsGo @Avalanche https://t.co/AfgEJq9q3b'
1528175595481313281,2022-05-22 00:47:08+00:00,"b'@ArtLippo Read this, boner. https://t.co/xmznmJ1bAP'"
1528175254652063744,2022-05-22 00:45:47+00:00,b'@JustinIIIusion They didn\xe2\x80\x99t make the playoffs. I wish you blues fans paid attention in the regular season.'
1528173468771971072,2022-05-22 00:38:41+00:00,b'@lionheartjill https://t.co/k7sSYJYxtK'
1528169132541128705,2022-05-22 00:21:27+00:00,"b'@danygreene58 Sorta iffy, in my view.'"
1528168821843894272,2022-05-22 00:20:13+00:00,b'Left his feet. That\xe2\x80\x99s a meeting. #COLvsSTL'
1528167421210636290,2022-05-22 00:14:39+00:00,b'This is an @Avalanche stan account tonight. #GoAvsGo https://t.co/61pvYx9tuj'
1528110014853853184,2022-05-21 20:26:33+00:00,b'Doesn\xe2\x80\x99t matter if your opinion of your coworker is positive or negative. Stand with them. Because they\xe2\x80\x99ll do the same thing to you and you\xe2\x80\x99ll wish someone helped. Trust me. You\xe2\x80\x99re expendable. Together you\xe2\x80\x99re unstoppable.'
1528102039762264064,2022-05-21 19:54:51+00:00,"b'\xe2\x80\x9cYou tell about all of this when I was fifteen, I never would have believed it.\xe2\x80\x9d \xe2\x80\x94 @againstme \nExcept I did believe. Stopped believing for a minute. Believe more than ever now. It\xe2\x80\x99s all coming true. Not the way I planned, but the dream is alive, the way I pictured. Join me. @AEW'"
1528085114655166464,2022-05-21 18:47:36+00:00,b'RT @AEW: #AEWDynamite 3 Year #AEWDoN Anniversary THIS WED 8/7c on TBS\n-ROH Tag Title #FTR v #RoppongiVice\n-#Hangman &amp; @CMPunk face-off\n-Cag\xe2\x80\xa6'
1528055352528293888,2022-05-21 16:49:20+00:00,"b'RT @ABC: Professional wrestlers are promoted as heroes and villains, but the vulnerability of the men behind those personas has often been\xe2\x80\xa6'"
1526785607959199745,2022-05-18 04:43:49+00:00,b'@LDAngeli https://t.co/OFDgIdjme5'
1526639560092012544,2022-05-17 19:03:29+00:00,b'@ryansatin @swerveconfident You ain\xe2\x80\x99t got room to talk here.'
1526607938747514881,2022-05-17 16:57:50+00:00,b'@JPsWrestling Preach'
1526607569174859776,2022-05-17 16:56:22+00:00,b'Great dislike FOR typos. Hope everyone has a great day. I\xe2\x80\x99m dragging but I can do this. You can too. LFG'
1526605270616625154,2022-05-17 16:47:14+00:00,"b'If you\xe2\x80\x99d go back in time to stand up for yourself, you should stand up the workers now. https://t.co/Hh0zA7nsid'"
1526287034226204673,2022-05-16 19:42:40+00:00,b'He\xe2\x80\x99s got the entire summer to find out! https://t.co/XMrBmf8RWb'
1526257210082336768,2022-05-16 17:44:10+00:00,b'@Mario_Tirabassi You don\xe2\x80\x99t suck at your job. You\xe2\x80\x99re excellent at your job and that job is making me depressed. https://t.co/POMrPn2hsy'
1526016138215411713,2022-05-16 01:46:14+00:00,b'@BComptonNHL Stress free game 7s rule!'
1525997971430572033,2022-05-16 00:34:02+00:00,b'Clearly a high stick. Totally awful call. Rotten. Trash.'
1525923853658165250,2022-05-15 19:39:31+00:00,b'RT @AEW: It is OFFICIAL! Stream #AEWDoN (Double Or Nothing) LIVE on @BleacherReport on your favorite device and watch #AEW World Champion #\xe2\x80\xa6'
1525914883287617539,2022-05-15 19:03:52+00:00,b'@RealWardlow https://t.co/atI8y0YNck'
1525906980858109955,2022-05-15 18:32:28+00:00,b'@DaxFTR @AEW It me. https://t.co/deeWKlQFoF'
1525902502914400257,2022-05-15 18:14:41+00:00,b'@DaxFTR @AEW https://t.co/opXuHeC1gv'
1525872133406171136,2022-05-15 16:14:00+00:00,b'Rags in seven. Best analysis in the game right here. #nyr'
1525544161939800065,2022-05-14 18:30:46+00:00,b'\xf0\x9f\x98\x8e https://t.co/YumADFtU7g'
1525493354611499008,2022-05-14 15:08:52+00:00,"b""RT @UFCFightPass: Before the @UFC action gets underway today, don't miss #CFFC108 LIVE on FIGHT PASS at 2pm ET / 11am PT! https://t.co/ZQQO\xe2\x80\xa6"""
1525344680661106688,2022-05-14 05:18:06+00:00,b'@zaclw @NHL_On_TNT @NYRangers 18th hole.'
1525343614230007813,2022-05-14 05:13:51+00:00,b'@NHL_On_TNT @NYRangers https://t.co/TNJaE64qG8'
1525295409408655360,2022-05-14 02:02:18+00:00,b'@MarkLazerus https://t.co/atjJOvZhFC'
1525202318890881024,2022-05-13 19:52:24+00:00,b'RT @TonyKhan: #AEWRampage Happy Hour served to you Tonight/Today (depending on your time zone) @ 5:30pm ET/4:30pm CT/3:30pm MT/2:30pm PT wi\xe2\x80\xa6'
1524931740757811200,2022-05-13 01:57:13+00:00,b'@BComptonNHL You\xe2\x80\x99re welcome!'
1524897557243117568,2022-05-12 23:41:23+00:00,b'My wrestler of the year so far. #FTR https://t.co/7favT3ikap'
1524821782904987649,2022-05-12 18:40:17+00:00,b'@SilverNumber1 https://t.co/oNot4LWPyk'
1524774027105124352,2022-05-12 15:30:31+00:00,b'@DarbyAllin @AEW Wild man.'
1524770079942008832,2022-05-12 15:14:50+00:00,"b'@NHL @NHL_On_TNT @Sportsnet Everyone ties it up and we get more hockey, please hockey gods.'"
1524764540436688898,2022-05-12 14:52:49+00:00,b'@ReneePaquette Sounds like my 20s.'
