twitter_id,date,tweet
1545128982143651840,2022-07-07 19:33:51+00:00,b'1 year of preparation \xf0\x9f\x94\xa5 @FreeFire_NA #GarenaFreeFire #FF5thAnniversary #FFxJB https://t.co/U1YZpwJDrI https://t.co/mZ6pMfozXB'
1493783548276314115,2022-02-16 03:05:25+00:00,"b'Go for the Gold, Ladies!!!!!! Cannot wait to watch some of the best hockey ever!!! We are so proud of you! @HockeyCanada'"
1476812772742733824,2021-12-31 07:09:37+00:00,"b'RT @weverseofficial: [#2022WeverseCon] Countdown D-DAY\n\xe2\x96\xb6https://t.co/yEFJDQv1EG\n\nTicket sale ends 31 Dec, 7:30 PM (KST)\n\xf0\x9f\x91\x89https://t.co/p6OqR\xe2\x80\xa6'"
1476682851324239873,2021-12-30 22:33:21+00:00,b'The countdown begins\xe2\x80\xa6 https://t.co/S5qZP92Ziz'
1476682709187829760,2021-12-30 22:32:47+00:00,b'RT @weverseofficial: [#2022WeverseCon] Countdown D-1 - @pledis_17\n\xe2\x96\xb6https://t.co/0NwYPqQzuC\n\n#\xec\x84\xb8\xeb\xb8\x90\xed\x8b\xb4 #SEVENTEEN #SVT #New_Era'
1473823212261851138,2021-12-23 01:10:10+00:00,"b'RT @inBetweenersNFT: Hey @justinbieber if you\xe2\x80\x99re in the Discord, you should give us a sign.\n\nhttps://t.co/KtgZM54CpV'"
1473447665757310980,2021-12-22 00:17:53+00:00,b'gummy nft @inbetweenersNFT https://t.co/UH1ZFFPYrn https://t.co/FrJPuFnAmL'
1471870475185926146,2021-12-17 15:50:41+00:00,b'RT @Vespa_Official: \xe2\x80\x9cJustin Bieber X Vespa\xe2\x80\x9d.\xe2\x81\xa3 Celebrating the Spirit of Freedom &amp; the Love of Design.\xe2\x81\xa3\n#Dropping2022 @justinbieber #JustinB\xe2\x80\xa6'
1471255638705684480,2021-12-15 23:07:33+00:00,"b""RT @inBetweenersNFT: We're excited to announce inBetweeners, a global crowdsourced community focused on spreading love and positivity acros\xe2\x80\xa6"""
1470547831434153984,2021-12-14 00:14:59+00:00,b'https://t.co/j7EuZcZqnh'
1470447446778163205,2021-12-13 17:36:05+00:00,b'https://t.co/DukI6jdeRw'
1470447442558689289,2021-12-13 17:36:04+00:00,b'LOVE MY FAMILY. \xf0\x9f\x93\xb7: @RoryKramer https://t.co/R3EudJCBDc'
1470446796547801089,2021-12-13 17:33:30+00:00,b'\xf0\x9f\x93\xb7: @RoryKramer https://t.co/dZprzjWhKX'
1470446792588337155,2021-12-13 17:33:29+00:00,b'\xf0\x9f\x93\xb7: @RoryKramer https://t.co/PgZIWI1OFr'
1470445997990031360,2021-12-13 17:30:20+00:00,b'https://t.co/uelmNcE67n'
1470445993229537283,2021-12-13 17:30:19+00:00,b'London Town wif my baby Hailey Bieber https://t.co/mL8jjaMo6l'
1469070041207431176,2021-12-09 22:22:46+00:00,"b""RT @youtubemusic: Sorry, but it's time to watch @justinbieber going in on this week\xe2\x80\x99s So That Happened. Show us your level of Belieber on #\xe2\x80\xa6"""
1468277144937771015,2021-12-07 17:52:05+00:00,b'RT @weverseofficial: \xf0\x9f\x8e\x892022 Weverse Con [New Era] is here!\nWe invite YOU to do the New Year Countdown with your favorite artists on #Weverse\xe2\x80\xa6'
