twitter_id,date,tweet
1546348770908143617,2022-07-11 04:20:51+00:00,b'FOH\xe2\x80\xa6.. https://t.co/QJPBHieRib'
1546342305845678081,2022-07-11 03:55:10+00:00,b'RT @questlove: @courttcoleman boom!!! https://t.co/seNBaeMDt9'
1546341966308413440,2022-07-11 03:53:49+00:00,b'@courttcoleman boom!!! https://t.co/seNBaeMDt9'
1546229743456079877,2022-07-10 20:27:53+00:00,b'@CosmoBaker Dog the amount of death I\xe2\x80\x99m experiencing w people born in 30/40/50s who have been holding their parents old records\xe2\x80\xa6.&amp; now I\xe2\x80\x99m stuck w like 300 of these since Jan'
1546229322696065025,2022-07-10 20:26:12+00:00,b'Oops I meant Heart &amp; Soul'
1546229206048276481,2022-07-10 20:25:44+00:00,b'@xtownshendx It is?!!!!???'
1546229127275061248,2022-07-10 20:25:26+00:00,b'@preciousgens Oh!!!!! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1546223998903754752,2022-07-10 20:05:03+00:00,b'RT @courttcoleman: Wait! https://t.co/dgM6B8RL0s'
1546222255939657729,2022-07-10 19:58:07+00:00,b'@courttcoleman Uh I need this. I ain\xe2\x80\x99t even about to read these comments. Imma spin this jawn in 3 hours. Link please?'
1546221225084600322,2022-07-10 19:54:02+00:00,"b'Ok, in Montreal airport lounge (Dunno why I needed to preface this) but the pre  in studio dialogue of Train making a bet on \xe2\x80\x9cI bet you I can make a jam outta \xe2\x80\x9cBody &amp; Soul\xe2\x80\x9d just watch\xe2\x80\xa6.is stuck in my head rn. Was this a hit? https://t.co/W5DFFcvd1M'"
1546161108666486785,2022-07-10 15:55:09+00:00,b'@Formula_LIB Lol there\xe2\x80\x99s no \xe2\x80\x9c&amp;\xe2\x80\x9d tho'
1546160439528243200,2022-07-10 15:52:29+00:00,b'@jesseds @eleijon Thank you again good sir for your service. Much appreciated'
1546160146103107585,2022-07-10 15:51:19+00:00,b'Sade is so supreme it\xe2\x80\x99s almost 40 years &amp; not one soul has corrected her in omitting NYC outta her Key Largo rhyme scheme.'
1546134982476718080,2022-07-10 14:11:20+00:00,b'Just posted a photo https://t.co/3LC7J4sBpv'
1545935046833479680,2022-07-10 00:56:51+00:00,b'Problem Solved! See you tonight Montreal!!'
1545933320181235714,2022-07-10 00:50:00+00:00,b'@ChristineFox Man\xe2\x80\x94\xe2\x80\x94I LOVE day after phsgehhti'
1545933142913155073,2022-07-10 00:49:17+00:00,b'@PrinceHits @prince @warnerrecords @billboard I liked this record'
1545930283647737858,2022-07-10 00:37:56+00:00,b'@jesseds @eleijon manager hitting you up now'
1545926582937591809,2022-07-10 00:23:13+00:00,b'Anyone in Montreal got Serato control vinyl they can let a bro use tonight to save a party? \xf0\x9f\x91\x80'
1545532190179708928,2022-07-08 22:16:03+00:00,b'RT @questlove: Wow @jamespoyser \xe2\x80\xa6\xe2\x80\xa6our music finally starts a riot!'
1545425983016140800,2022-07-08 15:14:01+00:00,b'@StevenAWagner Almost done'
1545425849884852224,2022-07-08 15:13:29+00:00,b'@Hannahsaunt https://t.co/YLSgovCMT9'
1545425567658426368,2022-07-08 15:12:22+00:00,b'@Hannahsaunt I was there!'
1545425452365484033,2022-07-08 15:11:55+00:00,b'@UPFULLife187 That was the last concert at Civic Center. Kinda honored and sad about that'
1545425136492466179,2022-07-08 15:10:39+00:00,b'@456meepmoop @ApolloTheater He has given me experiences. Like I can\xe2\x80\x99t separate jam session P from aftershow P to messin round P to concert P\xe2\x80\x94so I don\xe2\x80\x99t even count the times I seen him perform. Just like Thriller isn\xe2\x80\x99t in my \xe2\x80\x9ctop albums!\xe2\x80\x9d Lol it\xe2\x80\x99s too easy'
1545423900259090436,2022-07-08 15:05:45+00:00,b'RT @questlove: That time Stevie granted me my wish\xe2\x80\xa6.&amp; came on @FallonTonight to do my fav Stevie Jawn: #AllDaySucker (we NAILED it) https:/\xe2\x80\xa6'
1545423518061445120,2022-07-08 15:04:13+00:00,b'Wow @jamespoyser \xe2\x80\xa6\xe2\x80\xa6our music finally starts a riot! https://t.co/Y3vMsziWaF'
1545406800564031491,2022-07-08 13:57:48+00:00,b'\xf0\x9f\x98\x94 (link from) @comiclonilove\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nFresh In Peace Mr. Morrow https://t.co/aeOeSxDHSo'
1545276055312801792,2022-07-08 05:18:16+00:00,b'Raisin In Potato Salad Mix Ain\xe2\x80\x99t For EVERY song y\xe2\x80\x99all damb https://t.co/DduHdb7vLL'
1545265156569063424,2022-07-08 04:34:57+00:00,b'RT @RexChapman: Did you know The Twilight Zone was created because of Emmitt Till? https://t.co/NATowQdGa8'
1545265012062797825,2022-07-08 04:34:23+00:00,b'@Cohiba42794785 Y\xe2\x80\x99all sure that\xe2\x80\x99s not dangerous? That model of videotape wasn\xe2\x80\x99t out in 87 no?'
1545263869584711681,2022-07-08 04:29:50+00:00,b'That time Stevie granted me my wish\xe2\x80\xa6.&amp; came on @FallonTonight to do my fav Stevie Jawn: #AllDaySucker (we NAILED it) https://t.co/v04uMOFNB6 https://t.co/tXNGU4D9yl'
1545261827654914050,2022-07-08 04:21:43+00:00,b'@naima What publicist would approve their client on HIS SHOW?!'
1545261635345973248,2022-07-08 04:20:58+00:00,b'RT @latimes: Rapper Method Man is holding himself accountable and saying sorry to Destiny\xe2\x80\x99s Child more than two decades after a fraught enc\xe2\x80\xa6'
1545261215584321537,2022-07-08 04:19:18+00:00,b'@naima Lol said same as hung \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/1b06VgWMI2'
1545260264563646464,2022-07-08 04:15:31+00:00,b'Wtf?! https://t.co/xi6a2JBGts'
1545259766473179136,2022-07-08 04:13:32+00:00,b'Sade. 2000. Date Night. Awesome Night. https://t.co/VLAXAkVA3U'
1545258817948090369,2022-07-08 04:09:46+00:00,b'Everything I know tour life I learned from the Beastie Boys. I wasn\xe2\x80\x99t gonna include shows I was involved in. (We opened) but everything from the sound/lights/backdrop/merch/in house music/catering/buses/ I learned this and much more in 95. https://t.co/kbT7lrb7q8'
1545256849049616384,2022-07-08 04:01:56+00:00,b'Fishbone. 1991 at the Trocadero in philly. 3 weeks after \xe2\x80\x9cReality Of My\xe2\x80\xa6\xe2\x80\xa6\xe2\x80\x9d beautiful chaos. And I got to hang w em after the show at Billy Bobs in west philly. This was way before I was Questo https://t.co/HXJmcNOan5'
1545255833222668291,2022-07-08 03:57:54+00:00,"b'De La/Tribe/Souls Of Mischief at the Palladium NYE in 93 my last show as a civilian, my 1st show as an industry insider. Magic night jumpin in the audience acting like a dweeb. https://t.co/uHzonMQfK6'"
1545254366986346496,2022-07-08 03:52:05+00:00,b'Springsteen at the @ApolloTheater \xe2\x80\x942012. Mofo literally climbed the walls from the stage to the 3rd level. Performed like his life depended on it. Someone told me \xe2\x80\x9ceh\xe2\x80\xa6.it\xe2\x80\x99s just Wednesday for him \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\x94-1st of 7 shows I\xe2\x80\x99ll see this month of his. Instant Convert. https://t.co/mJV7fdpktL https://t.co/hNWDSHDdzb'
1545206560724598790,2022-07-08 00:42:07+00:00,b'@RexChapman https://t.co/gydudW6TIn'
1545149207333535747,2022-07-07 20:54:13+00:00,"b'RT @wraithe: @jemelehill @yabamena Everyone: check out this awesome Usher meme, we\xe2\x80\x99re gonna use it forever!!!!!!\n\nGovernor Kathy Hochul: ht\xe2\x80\xa6'"
1545149116799410177,2022-07-07 20:53:51+00:00,b'thank you. im gettin tired already https://t.co/Rp1m6dvZzM'
1545094125095116800,2022-07-07 17:15:20+00:00,b'Just posted a photo https://t.co/CvfWJYXm6F'
1544765247793373187,2022-07-06 19:28:30+00:00,b'Just posted a photo https://t.co/QqctNxVbHL'
1544205423523291138,2022-07-05 06:23:57+00:00,b'Let\xe2\x80\x99s talk about why she got shafted. After all those nominations \xf0\x9f\xa4\x94 https://t.co/u7HWYIQpic'
1544047213420154880,2022-07-04 19:55:17+00:00,"b'RT @MetaSmith: For those of you talking stupid, Highland Park is almost 50% Jewish, and most families of four make about $350k. \n\nMaybe don\xe2\x80\xa6'"
1543859003918323713,2022-07-04 07:27:24+00:00,b'Respect to the legend. Bruno Pop N Taco Falcon.\n\n#BrunoPopNTacoFalcoln\n\n#Breakin\n#Breakin2ElectricBoogalo\n#IFeelForYou\n#SmoothCriminal\n#MeetingInTheLadiesRoom https://t.co/xH1qAnk0QG'
1543805599107923968,2022-07-04 03:55:12+00:00,b'@jsexplosion 2 weeks ago was our THIRTIETH anniversary https://t.co/ZWPmDNlPTz'
1543805326138417153,2022-07-04 03:54:06+00:00,b'@StyleBySi That\xe2\x80\x99s was 2019'
