twitter_id,date,tweet
1545093853400678403,2022-07-07 17:14:15+00:00,"b""RT @EuropaLeague: Sevilla's class of 2006 \xf0\x9f\x92\xab\n\n#TBT | #UEL https://t.co/E7IO7K7VXr"""
1544813934657642497,2022-07-06 22:41:57+00:00,b'RT @Rafinha: Brazukas in Paris https://t.co/tWZZ1MYoLe'
1543538199049506817,2022-07-03 10:12:38+00:00,"b'RT @tntsportsmex: \xc2\xa1De lo que se pierden en San Nicol\xc3\xa1s! \xf0\x9f\x98\x85\n\nCon mi @DanialvesD2 no s\xc3\xb3lo tendr\xc3\xadan un lateral de \xc3\xa9lite, sino tambi\xc3\xa9n un cocine\xe2\x80\xa6'"
1543216752020127750,2022-07-02 12:55:19+00:00,"b'RT @LaLiga: \xf0\x9f\x98\x8e \xf0\x9d\x91\xbb\xf0\x9d\x92\x89\xf0\x9d\x92\x86 \xf0\x9d\x91\xae\xf0\x9d\x92\x90\xf0\x9d\x92\x90\xf0\x9d\x92\x85 \xf0\x9d\x91\xaa\xf0\x9d\x92\x93\xf0\x9d\x92\x82\xf0\x9d\x92\x9b\xf0\x9d\x92\x9a \xf0\x9f\x98\x8e\n\n\xf0\x9f\x92\x99\xf0\x9f\x8f\x86\xe2\x9d\xa4 #TalD\xc3\xadaComoHoy en 2008, comenzaba la primera etapa de @DaniAlvesD2 como jugador del @FCBarcelona_es, en\xe2\x80\xa6'"
1543205156019380225,2022-07-02 12:09:15+00:00,b'El pinche g\xc3\xbcey maneja el tiempo ahora!! \xf0\x9f\x98\x82 https://t.co/260Ffg1v47'
1543204572793020418,2022-07-02 12:06:56+00:00,b'Yo elijo a Cafu \xf0\x9f\x98\x82 https://t.co/Ftx6zEoJs3'
1542918153042378754,2022-07-01 17:08:48+00:00,b'Dejen de contar mentiras en internet!!\nGracias por nada https://t.co/NpMGXs4KBj'
1542535002231037952,2022-06-30 15:46:18+00:00,"b""RT @FIFAWorldCup: Watch the latest episode of 'Dani Crazy Dream' on FIFA+ \xe2\xa4\xb5\xef\xb8\x8f\n\n@DaniAlvesD2"""
1542534980936531970,2022-06-30 15:46:13+00:00,b'RT @FIFAWorldCup: Cafu and Dani Alves talking life as a full-back is pure GOLD \xf0\x9f\xa4\xa9\xe2\x80\x8b\xf0\x9f\x98\x82\xe2\x80\x8b\n\n@officialcafu \xf0\x9f\xa4\x9d @DaniAlvesD2 https://t.co/BKjCUKIAIi'
1540709760344895488,2022-06-25 14:53:26+00:00,"b'Bien finde, que nadie quite tu Buena vibra nunca!!! https://t.co/IZRnMZef8X'"
1540315218185691138,2022-06-24 12:45:40+00:00,"b""RT @FIFAcom: When we move together, we stand together. Happy #OlympicDay! \n\nIf you are playing football today, tag us and @Olympics. We'll\xe2\x80\xa6"""
1539722636527378438,2022-06-22 21:30:57+00:00,b'Tamo activo o que!?!! https://t.co/zO25oY45fD'
1539681038703665152,2022-06-22 18:45:40+00:00,"b'Estou convidando voc\xc3\xaa para se juntar ao nosso Clube de Arte Phygital Somente para Membros em @elrondnetwork! Adquira sua assinatura, a chave #Medusa #NFT para lan\xc3\xa7amentos airdrops de #ART com curadoria mensal e muito mais! Estamos apenas come\xc3\xa7ando\xf0\x9f\x94\xa5\xf0\x9f\x90\x8d\nhttps://t.co/Ku6etCfmJT https://t.co/laaupr0uYA'"
1538244437683339264,2022-06-18 19:37:07+00:00,b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbe\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe https://t.co/RUenxwO4kL'
1537769394163568642,2022-06-17 12:09:28+00:00,b'Mentira!!! Gracias!! \xf0\x9f\x98\x82 !! https://t.co/3hiL8WrFrj'
1537768974750031874,2022-06-17 12:07:48+00:00,b'RT @EuropaLeague: \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 @DaniAlvesD2 \xf0\x9f\x94\xa5\n\n#UEL https://t.co/WODEKwfsSe'
1536288672873578496,2022-06-13 10:05:37+00:00,b'La numero 44 \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 \n#SomaySigueeee\xf0\x9f\xa4\xaa https://t.co/XSmpm3P8pY'
1534633106682044421,2022-06-08 20:26:59+00:00,"b'RT @clubgorgon: A warm message from our projects team member &amp; legendary player of #Barcelona, Daniel Alves @DaniAlvesD2\xe2\x9d\xa4\xef\xb8\x8f Join our Members\xe2\x80\xa6'"
1534592246355574791,2022-06-08 17:44:37+00:00,"b'Escreveu n\xc3\xa3o leu, o pau comeu \xf0\x9f\x98\x82 https://t.co/NFNLqmfci0'"
1534590090382659592,2022-06-08 17:36:03+00:00,b'RT @ethika: Our new Dani Alves signature style \xe2\x80\x98Elevado\xe2\x80\x99 just dropped on https://t.co/J5AEYqP4I1 \xf0\x9f\x94\xa5 Available now in men\xe2\x80\x99s and women\xe2\x80\x99s! http\xe2\x80\xa6'
1534244288153980928,2022-06-07 18:41:57+00:00,b'RT @tntsportsmex: Mi @DaniAlvesD2 levantando un trofeo. \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x8f\x86\n\n*No importa cu\xc3\xa1ndo lo veas*. \xf0\x9f\xa4\xaa https://t.co/AAA18o4Pvb'
