twitter_id,date,tweet
1542205060448260097,2022-06-29 17:55:13+00:00,b'Mr. Morale &amp; The Big Steppers Vinyl https://t.co/D4c0mdpzJT'
1527380853373816836,2022-05-19 20:09:07+00:00,b'Come help me get out the box \n\nhttps://t.co/f9DwKE2ROn'
1527003184979677184,2022-05-18 19:08:24+00:00,b'For the Big Steppers https://t.co/9LSrpdsVHX'
1525555039154020353,2022-05-14 19:13:59+00:00,b'N95 https://t.co/0LhGhghsTZ https://t.co/D4gJNhITZm'
1525145963160932354,2022-05-13 16:08:28+00:00,b'The Big Steppers Tour https://t.co/LgMFiWPbWT https://t.co/2txiUEwM5g'
1524963332154806272,2022-05-13 04:02:45+00:00,b'Mr. Morale &amp; The Big Steppers https://t.co/544YaTY8ys'
1524468860044267520,2022-05-11 19:17:54+00:00,b'Mr. Morale &amp; The Big Steppers https://t.co/tLcJDyNxVe'
1523452798238568448,2022-05-09 00:00:26+00:00,b'The Heart Part 5 https://t.co/DlnQO2g5nw'
1519002682928758784,2022-04-26 17:17:15+00:00,b'RT @TannaLeone: Tanna Leone - Death n\xe2\x80\x99 Taxes (Official Video) https://t.co/eaEGC8Di6B via @YouTube'
1516114615477825537,2022-04-18 18:01:07+00:00,b'https://t.co/YVE5bZOBL2 https://t.co/UywGGKExb1'
1472666885481123842,2021-12-19 20:35:20+00:00,"b'Today @ Enterprise Park 13055 Clovis Ave. Los Angeles, CA 90059 \n\nActivities for Children and Family. \n\nNow until 4pm.'"
1443682554146549772,2021-09-30 21:01:57+00:00,"b'Los Angeles, 2.13.2022 #PepsiHalftime show. @NBCSports @pepsi @NFL @RocNation #SBLVI https://t.co/5QR2cOXtgE'"
1436179793834356738,2021-09-10 04:08:40+00:00,b'https://t.co/KoV758XdVD'
1436179575399227393,2021-09-10 04:07:48+00:00,b'RT @babykeem: THE MELODIC BLUE \n\nhttps://t.co/O89R4kOmzP'
1431314819160764416,2021-08-27 17:57:00+00:00,b'https://t.co/1wZ03gQ0I2'
1428764677677277191,2021-08-20 17:03:38+00:00,b'https://t.co/YVE5bZOBL2 https://t.co/Inon4x2lqJ'
1235674065563553792,2020-03-05 21:10:29+00:00,b'5000 copies all over the city. @latimes x @PGLang https://t.co/50T6QUaZBF'
1235631456019308545,2020-03-05 18:21:10+00:00,b'Welcome to pgLang. https://t.co/IucgqwEiG0 https://t.co/pooIBPEWl0'
1235630648804560896,2020-03-05 18:17:58+00:00,b'https://t.co/IucgqwEiG0 https://t.co/VFk7glme1N'
1209575913525874688,2019-12-24 20:45:45+00:00,b'Today @ Enterprise Park 13055 Clovis Ave. Los Angeles Ca. 90059 \n\nActivities for Children and Family. Now Until 4pm.'
1121838844297355264,2019-04-26 18:09:57+00:00,b'My brother @ScHoolboyQ dedicated his life for another milestone. I got the honor to watch and learn. You did it again soloist. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/oUa2NEYfjf'
1110174851304574977,2019-03-25 13:41:25+00:00,b'THEY SAY MY FACE DONT LOOK THE SAME WITH THE STOCK-\n\nCondolences to the family of the late great Tech9 of philly. Rest well.'
1106358762267279360,2019-03-15 00:57:38+00:00,b'RT @ScHoolboyQ: NUMB NUMB JUICE \xf0\x9f\x8e\xa5 OUT NOW! https://t.co/oiOWUNtyep #TDE'
1060654452821057536,2018-11-08 22:05:02+00:00,b'...... https://t.co/pyTXfjdoLl'
