twitter_id,date,tweet
1545785987925741570,2022-07-09 15:04:33+00:00,b'Hoy estoy m\xc3\xa1s que agradecido por todo el apoyo que me han dado durante mi carrera \xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x99\x8f'
1545751233834663936,2022-07-09 12:46:27+00:00,"b""RT @ComplexMusic: .@burnaboy drops 'Love, Damini' album: https://t.co/8uLh6Qw8fk"""
1545455506818535424,2022-07-08 17:11:20+00:00,b'En una escala de 1 hasta 5 \xc2\xbfcu\xc3\xa1l es tu nivel de perreo?'
1544752355211616262,2022-07-06 18:37:16+00:00,"b'Si me vas antojar, dame el pedazo entero.'"
1543368429536681985,2022-07-02 22:58:02+00:00,b'Hoy estrenamos Nivel de Perreo en Holanda \xf0\x9f\x87\xb3\xf0\x9f\x87\xb1 \xc2\xbfquieren ver? @ryancastrro'
1542913489542553600,2022-07-01 16:50:16+00:00,"b'Awoo, est\xc3\xa1 canci\xc3\xb3n es Nivel De Perreo \xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x98\x8e @ryancastrro \n\nhttps://t.co/ZJc8gohAFH'"
1542522013972975617,2022-06-30 14:54:41+00:00,b'HOY \xe2\x9a\xa1\xef\xb8\x8f @ryancastrro 7:00 PM hora Colombia \xf0\x9f\x87\xa8\xf0\x9f\x87\xb4 NIVEL DE PERREO https://t.co/Tepgx5RQv0'
1542153513786032128,2022-06-29 14:30:24+00:00,b'U N  O  @ryancastrro'
1541859773066485760,2022-06-28 19:03:10+00:00,b'dos @ryancastrro'
1541774337379864578,2022-06-28 13:23:41+00:00,b'tres @ryancastrro'
1541588829643182083,2022-06-28 01:06:32+00:00,b'cuatro @ryancastrro'
1540825207463706627,2022-06-25 22:32:11+00:00,b'Cinco @ryancastrro'
1540342082245632002,2022-06-24 14:32:25+00:00,b'seis @ryancastrro'
1540101957322424321,2022-06-23 22:38:14+00:00,b'\xc2\xbfQu\xc3\xa9 dice @ryancastrro  contamos desde el 7 al 1 para soltar este palo?'
1539691401730039808,2022-06-22 19:26:50+00:00,b'Ser buenos padres es el primer paso de un buen hijo.'
1537852250093244419,2022-06-17 17:38:42+00:00,"b'Cuiden su salud y cuiden su gente, siempre.'"
1537194361573744640,2022-06-15 22:04:30+00:00,b'Guadalajara \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd Nos vemos pronto https://t.co/4hSuVM9oNB'
1537193982303813633,2022-06-15 22:02:59+00:00,b'Monterrey \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd Vibra en Alta \xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f \nhttps://t.co/Eol2gWiFKe https://t.co/0UzuBsBa5l'
1535670672076185602,2022-06-11 17:09:54+00:00,b'Quiero una bandeja para comerme... https://t.co/0sgX6vL4BS'
1532474859736993792,2022-06-02 21:30:53+00:00,b'CDMX \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd Nos vemos pronto en #CocaColaFlowFest22  \xe2\x9a\xa1 LEGO https://t.co/Eit2oGlgmH https://t.co/JBgs428ADg'
1532061780574633984,2022-06-01 18:09:27+00:00,"b'R\xc3\xado, mi hijo, mi amigo, siempre record\xc3\xa1ndome\nd\xc3\xb3nde enfocarme. https://t.co/9DeHiArX6a'"
1532001790539046913,2022-06-01 14:11:04+00:00,b'RT @MaddieCueva: Reggaeton is international. Sitting in a caf\xc3\xa9 in Paris where they are playing J Balvin and El Alfa \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd'
