twitter_id,date,tweet
1546608121279307777,2022-07-11 21:31:25+00:00,b'Seems like the grass may be greener on Solana these days. I honestly haven\xe2\x80\x99t seen art as original as this anywhere else. Swept a couple @InfectedMob \xf0\x9f\x98\x88 Where my fam at?\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/bhzRJtoG62'
1546222432469413888,2022-07-10 19:58:49+00:00,b'@BFFsPod @ItsJoshPeck \xf0\x9f\x98\x82'
1545878245756657664,2022-07-09 21:11:09+00:00,b'Disneyland today!'
1545772889403625473,2022-07-09 14:12:30+00:00,b'@soldaditadeplo1 Quiero estar en Canc\xc3\xban!!'
1545138639364993024,2022-07-07 20:12:13+00:00,b'\xc2\xbfC\xc3\xb3mo deber\xc3\xada titularse mi nueva pel\xc3\xadcula basada en M\xc3\xa9xico?'
1545138563653636097,2022-07-07 20:11:55+00:00,b'\xc2\xbfQu\xc3\xa9 ciudades de M\xc3\xa9xico les gustar\xc3\xada que visitara pr\xc3\xb3ximamente?'
1545138447857332224,2022-07-07 20:11:27+00:00,b'Dime qu\xc3\xa9 canciones deber\xc3\xada incluir en mi setlist \xf0\x9f\xa4\x94'
1545138309784956928,2022-07-07 20:10:54+00:00,b'\xc2\xbfC\xc3\xb3mo deber\xc3\xada llamarse mi nuevo \xc3\xa1lbum?'
1544793968113725442,2022-07-06 21:22:37+00:00,"b'En mi pel\xc3\xadcula nueva tendr\xc3\xa9 un mejor amigo, \xc2\xbfqui\xc3\xa9n deber\xc3\xada interpretarlo?'"
1544793840728477696,2022-07-06 21:22:07+00:00,b'\xc2\xbfQui\xc3\xa9n deber\xc3\xada ser la protagonista de mi pel\xc3\xadcula?'
1544793675770695680,2022-07-06 21:21:27+00:00,"b'Para mi pel\xc3\xadcula necesito grabar en una taquer\xc3\xada, \xc2\xbfcu\xc3\xa1l es la mejor taquer\xc3\xada?'"
1544726280205045760,2022-07-06 16:53:39+00:00,b'\xc2\xbfD\xc3\xb3nde deber\xc3\xada grabar mi pel\xc3\xadcula en Jalisco?'
1543066841207242754,2022-07-02 02:59:38+00:00,b'https://t.co/FFt97bqsvp'
1542877706181820416,2022-07-01 14:28:05+00:00,b'\xc2\xbfQui\xc3\xa9n me puede hacer un incre\xc3\xadble tatuaje tradicional en Ciudad de M\xc3\xa9xico?'
1542537826629144576,2022-06-30 15:57:31+00:00,b'Qu\xc3\xaden viene al concierto esta noche?! https://t.co/uGdQhiyOyb'
1542523609305841668,2022-06-30 15:01:01+00:00,b'Esta noche y ma\xc3\xb1ana!! https://t.co/GLSJrR5WQQ'
1542393911603122176,2022-06-30 06:25:39+00:00,b'RT @IAmSteveHarvey: Read that again\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbe https://t.co/LbQJ68M59j'
1536781181315735552,2022-06-14 18:42:40+00:00,b'RT @LoftCinema: Esta s\xc3\xad no la ve\xc3\xadamos venir: @DrakeBell covere\xc3\xb3 \xe2\x80\x9cLa camisa negra\xe2\x80\x9d de @juanes y la verdad es que suena bastante bien \xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x95\xba\xf0\x9f\x8f\xbb#FI\xe2\x80\xa6'
1536319585078726657,2022-06-13 12:08:27+00:00,b'RT @AndreaGtzP_: Pens\xc3\xa9 que ya se me hab\xc3\xada pasado la fiebre de @DrakeBell pero ayer me di cuenta que volv\xc3\xad a ser una ni\xc3\xb1a 8 a\xc3\xb1os con mil sen\xe2\x80\xa6'
1536073029536518144,2022-06-12 19:48:43+00:00,b'\xc2\xbfQui\xc3\xa9n me puede hacer un incre\xc3\xadble tatuaje tradicional en Guadalajara?'
1536010902121721859,2022-06-12 15:41:51+00:00,b'RT @LoftCinema: #DrakeBell (@DrakeBell)se luci\xc3\xb3 durante su concierto en el Festival Internacional de Cine en Guadalajara #FICG37\nhttps://t.\xe2\x80\xa6'
1535890707885563905,2022-06-12 07:44:14+00:00,b'RT @Vip_27Nach: @DrakeBell empezamos recio!!! https://t.co/cwlA8is6B9'
1535754701668503552,2022-06-11 22:43:48+00:00,b'RT @DaphneeSanchez: Oye tranquilo viejo @DrakeBell https://t.co/McC68XiNGp'
1535620995079446528,2022-06-11 13:52:30+00:00,b'RT @SmellyPail: One day closer to launch! Holding a #giveaway for a custom title at release! Details in the discord #RuneCraftSMP https://t\xe2\x80\xa6'
1535383268845043713,2022-06-10 22:07:51+00:00,b'RT @carlin1795: So this happened this morning \xf0\x9f\xa4\xa9\n@DrakeBell \n#LegendsNeverDie https://t.co/smxwWll07u'
1535383258510368768,2022-06-10 22:07:49+00:00,"b'RT @Vip_27Nach: Logro de infancia desbloqueado!! \n@drakebell en Guadalajara, Jalisco https://t.co/HtSu7x6m8z'"
1535368758788866048,2022-06-10 21:10:12+00:00,b'RT @filmbrae: no way am i only now realizing braeden sang a drake bell song at the end of sun tan when i saw wallows in 2020 https://t.co/S\xe2\x80\xa6'
1530166969277751296,2022-05-27 12:40:09+00:00,b'RT @ProyectoBrujula: Drake Bell en el cine mexicano.\n\nEl cantante estadounidense #DrakeBell anunci\xc3\xb3 mediante redes sociales que ser\xc3\xa1 el pro\xe2\x80\xa6'
1530166859831689217,2022-05-27 12:39:43+00:00,"b'RT @RevistaElla: Drake Bell ser\xc3\xa1 el protagonista de una pel\xc3\xadcula mexicana.\xc2\xa0 Se desconocen detalles del filme, sin embargo, la productora Ag\xe2\x80\xa6'"
1530166772262912001,2022-05-27 12:39:22+00:00,b'RT @CulturaColectiv: #DrakeBell protagonizar\xc3\xa1 una pel\xc3\xadcula mexicana. \nhttps://t.co/CbFb8WCWde'
1530166615974764545,2022-05-27 12:38:45+00:00,b'RT @GilbertoBrenis: #DrakeBell al cine\n\xe2\xac\x87\xef\xb8\x8fDALE CLICK A LA LIGA\xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/QAwrIsNJbw https://t.co/JFxJgZGrwG'
1530166596999725056,2022-05-27 12:38:40+00:00,"b'RT @eitmediaglobal: #DrakeBell estelarizar\xc3\xa1 comedia mexicana\nM\xc3\xa1s informaci\xc3\xb3n, aqu\xc3\xad: https://t.co/FikC8NnJpH \n\n// #Entretenimiento #M\xc3\xbasica h\xe2\x80\xa6'"
1529933640871952397,2022-05-26 21:12:59+00:00,b'\xc2\xbfAd\xc3\xb3nde vamos en Barcelona esta noche?'
