twitter_id,date,tweet
1545575271834820611,2022-07-09 01:07:14+00:00,"b'Ha Ha Mafia strikes again. July 22nd - 24th in Tacoma, WA see y\xe2\x80\x99all soon ya dig \xf0\x9f\x8e\xa4 \xf0\x9f\x91\x91 https://t.co/PG6kS1MSUE'"
1545490715022659585,2022-07-08 19:31:14+00:00,b'Sat down with the legend @BILLBELLAMY to discuss the \xe2\x80\x9ctrap music mindset\xe2\x80\x9d among many other topics \xf0\x9f\x91\x91 \n\nWatch full here: https://t.co/mSCoG2KvOI https://t.co/KjcEvF45cH'
1544833218360246277,2022-07-06 23:58:35+00:00,b'eternally thankful @LA_Reid https://t.co/7GWYA0uhVw'
1541182984144900096,2022-06-26 22:13:51+00:00,b'a great weekend \xf0\x9f\x91\x91 https://t.co/XwJ9BrBk76'
1540415292982972416,2022-06-24 19:23:20+00:00,b'tomorrow night with my patnah @DJMLK \xf0\x9f\x91\x91 https://t.co/d2sNNopw18'
1537864575432933378,2022-06-17 18:27:41+00:00,b'tonight with my patnah @Pharrell \xf0\x9f\x91\x91 https://t.co/Ylm3F1RfY8'
1535033045866237964,2022-06-09 22:56:12+00:00,b'got fly with @InTheCityMagAtl @Domani @fabian30349 \xf0\x9f\x91\x91 https://t.co/nRq30PfbtA'
1533499217846607873,2022-06-05 17:21:19+00:00,b'R.I.P. Trouble \xf0\x9f\x95\x8a'
1532823752022573057,2022-06-03 20:37:15+00:00,b'don\xe2\x80\x99t quit. never quit \xf0\x9f\x91\x91 @TMZ https://t.co/3oW54VSpsr'
1532424218209574913,2022-06-02 18:09:39+00:00,"b'\xe2\x80\x9cD.C.! \xc2\xa0I\xe2\x80\x99m coming to Juneteenth Honors \xc2\xa0at the Warner Theatre. Proceeds go to scholarships for HBCU students. \xc2\xa0Hosted by @JuneteenthJF  Join me, @RickRoss , @Domani and @TerrenceJ as we celebrate!\xc2\xa0Tickets available at\xc2\xa0https://t.co/wLy5vro8R3 https://t.co/Gd9ui0nwXF'"
1531179857530560512,2022-05-30 07:45:00+00:00,"b""RT @BrotherHQ: \xf0\x9f\x8e\xb615 YEARS AGO TODAY!\xf0\x9f\x8e\xb6\n\n@Tip released 'Big Things Poppin' (Do It)' as the lead single from 'T.I. vs. T.I.P.' on May 29, 2007!\xe2\x80\xa6"""
1527675880620838913,2022-05-20 15:41:27+00:00,b'A Tribute to Kevin Samuels \xf0\x9f\x95\x8a\nhttps://t.co/CKvAYGktCm'
1523019730012975106,2022-05-07 19:19:34+00:00,"b'RT @jermainedupri: The first JD beat with @Tip on it,that boi @CurrenSy_Spitta promised y\xe2\x80\x99all the summer,it\xe2\x80\x99s comin\xe2\x80\xbc\xef\xb8\x8f https://t.co/QPUyANCv\xe2\x80\xa6'"
1521552542655729664,2022-05-03 18:09:29+00:00,b'this weekend baxk to back with @DJMLK at @DraisLV \xf0\x9f\x94\xa5 https://t.co/Y5MfsWEKfo'
1518707933483356166,2022-04-25 21:46:02+00:00,b'LA pull up to Krush Groove this saturday at @cryptocomarena \n\n\xf0\x9f\x8e\x9f: https://t.co/UQrIOt3vS9 https://t.co/yCPc3533Gw'
1516517224353259533,2022-04-19 20:40:56+00:00,"b'RT @TheShadeRoom: Roommates, can ya\xe2\x80\x99ll figure out who this rapper grew up to be?! https://t.co/Yn9Czd3Goq'"
1513998242018738177,2022-04-12 21:51:24+00:00,b'next weekend with @DJMLK at @DraisLV \xf0\x9f\x8d\xbe\xf0\x9f\x91\x91 https://t.co/hFATBJvZH3'
1512838000463720448,2022-04-09 17:01:01+00:00,b'tonight in Brooklyn \xf0\x9f\x97\xbd https://t.co/I7chSHtK11'
1511330592373104642,2022-04-05 13:11:07+00:00,b'RT @Dreamvillefest: GANGSTA GRIZZ-ILLZ\xe2\x80\xbc\xef\xb8\x8f\n@DJDRAMA x @LilTunechi x @Tip x @Jeezy \n#dreamvillefest\n\n\xf0\x9f\x93\xb8: @GregNoire @a_ciggs // the parallel ag\xe2\x80\xa6'
1511176523931426822,2022-04-05 02:58:54+00:00,b'RT @DJDRAMA: And @Dreamvillefest was so legendary. Where do i begin? anybody get a chance to watch?'
1511173838868037637,2022-04-05 02:48:14+00:00,b'@DJDRAMA \xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91'
1511170872064851974,2022-04-05 02:36:26+00:00,b'my patnah @LilTunechi \xf0\x9f\x94\xa5\xf0\x9f\x91\x91 https://t.co/uH8ILMbwQx'
1510297586531512323,2022-04-02 16:46:19+00:00,"b'RT @StateFarmArena: Legendz in the house! \n\nTONIGHT: @RickRoss, @Jeezy, @Tip, @gucci1017, @TRINArockstarr, and @DJDRAMA https://t.co/2iNDWX\xe2\x80\xa6'"
1508107674466107398,2022-03-27 15:44:23+00:00,b'RT @DJDRAMA: classic'
1507443694521262082,2022-03-25 19:45:58+00:00,b'12 years ago with @djdrama @djmlk \xf0\x9f\x94\xa5\xf0\x9f\x91\x91 https://t.co/fKeHeBXyKs'
1507043775088107524,2022-03-24 17:16:50+00:00,b'Brooklyn \xf0\x9f\x97\xbd\xf0\x9f\x91\x91 https://t.co/8UvbnBSFqI'
1506785263124725768,2022-03-24 00:09:36+00:00,"b'Miami All Roads Lead To The Trap this Friday, March 25! @DJMLK https://t.co/3XPXdMc7au'"
1506384021500084231,2022-03-22 21:35:12+00:00,b'my patnah @MikeTyson pulled up on my at the @LaughFactoryHW I asked him if Holyfield was all wars when he told him about his new edibles \xf0\x9f\xa4\x94 \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f \xf0\x9f\x98\x82 https://t.co/jbmi7f2nUF'
1504963376585355273,2022-03-18 23:30:04+00:00,b'Live in Times Square @BETMusic \xf0\x9f\x94\xa5 https://t.co/QFiFBhun6B'
1504891044869152770,2022-03-18 18:42:39+00:00,b'https://t.co/4z53MHTLPH'
